Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Veolia_logo.svg/3840px-Veolia_logo.svg.png,2026,Service aux collectivités,,"10,65","34,13","35,15","24,06","-0,03","14,57","5,27","4,10","1,40","2,13","46,10","8,75","730,98","21,25","3,86","7,62","1,95",,"44,60",EPA:VIE,"3,13","10,00","2,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2024,,,,,,,,,"5,22",,"1,40","2,13","44,02","8,43","729,48","18,30","3,67","6,88","2,06","91,80","44,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2023,,,,,,,,,"5,34",,"1,25","1,82","43,75","8,20","714,89","22,28","2,90","6,39","1,91","94,05","45,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2022,,,,,,,,,"5,37",,"1,12","1,60","44,91","8,37","701,96","23,95","2,79","6,74","1,20","107,69","42,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2021,,,,,,,,,"6,25",,"1,00","1,45","38,02","6,08","687,33","49,31","1,90","5,74","2,08","146,65","28,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2020,,,,,,,,,"6,99",,"0,67","0,69","36,47","5,22","586,80","130,71","0,60","4,33","1,31","437,41","26,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2019,,,,,,,,,"4,68",,"0,48","1,03","28,33","6,05","575,43","22,15","4,52","5,67","1,80","44,67","27,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEOLIA,,2018,,,,,,,,,"4,67",,"0,89","0,73","27,33","5,85","573,64","27,63","2,48","5,70","1,78","135,49","25,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1DeqGkIPpvSzlDjJLobcHF0WQKLw9HoY74Q&s,2026,Défense ,,"-6,41","230,00","130,08","135,03","0,77","28,29","1,85",,,,"29,78","16,06","205,52","29,46","13,93","10,66","12,70",,"22,14",EPA:HO,"11,65","4,89","6,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2025,,,,,,,,,"1,85",,"3,90","8,13","29,77","16,06","205,48","28,25","13,93","10,02","12,70","47,86","22,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2024,,,,,,,,,"2,63",,"3,70","6,89","37,97","14,43","205,31","27,56","8,18","8,83","10,18","73,36","20,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2023,,,,,,,,,"3,13",,"3,40","8,48","40,32","12,90","209,87","27,38","8,00","8,97","5,05","69,27","18,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2022,,,,,,,,,"2,19",,"2,94","7,35","25,77","11,78","210,13","22,61","9,99","8,21","11,73","55,58","17,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2021,,,,,,,,,"2,58",,"2,56","6,39","27,79","10,78","212,92","14,64","9,06","7,63","9,42","50,05","16,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2020,,,,,,,,,"3,75",,"1,76","4,40","35,69","9,51","212,87","32,99","4,39","5,85","4,41","77,44","15,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2019,,,,,,,,,"2,49",,"0,60","6,61","29,45","11,82","212,76","17,57","12,56","7,64","6,56","11,36","18,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALES,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOkLzg9c239zsnsdGcT7YaRsbXfPkBjQRhow&s,2026,Technologie,,"-7,70","167,90","101,69","105,68","0,65",,"0,70","1,40","2,35","6,15","6,89","9,90","1,14","27,18","14,24","27,63","7,05",,"36,80",ETR:SAP,"16,82",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2025,,,,,,,,,"0,70",,,,"6,87","9,88",,"33,41","14,24","27,97","7,03",,"36,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2024,,,,,,,,,"1,12",,"2,35","4,53","9,03","8,08","1,17","89,25","6,09","24,14","3,75","87,71","34,18",,,,,,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
SAP,,2023,,,,,,,,,"1,11",,"2,20","5,01","7,45","6,74","1,17","63,87","7,31","21,10","4,70","99,63","31,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2022,,,,,,,,,"1,59",,"2,05","4,08","11,13","6,99","1,17","49,59","6,64","22,52","4,06","105,02","29,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2021,,,,,,,,,"2,12",,"1,95","6,74","12,84","6,07","1,18","28,04","11,28","19,37","4,60","43,78","27,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2020,,,,,,,,,"1,72",,"1,85","5,41","13,08","7,62","1,18","24,63","11,83","26,26","5,40","42,50","27,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2019,,,,,,,,,"2,12",,"1,58","5,11","13,25","6,24","1,19","43,26","8,00","20,27","2,24","56,81","27,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPART,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3jjH4eumeKJvu3hnjuD-1Ic_paBFKDMtRvA&s,2026,Industrie,,"25,47","32,32","47,70","36,58","-0,32","20,33","0,05","0,00",,"1,59","0,10","1,98","968,02","24,46","18,04","37,29","1,45","0,00","4,66",NASDAQ:CPRT,"17,42","16,08","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPART,,2025,,,,,,,,,"0,06",,,"1,59","0,11","1,96","967,48","28,54","18,38","36,51","1,26","0,00","4,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPART,,2024,,,,,,,,,"0,07",,,"1,40","0,12","1,81","962,97","37,42","19,89","37,10","0,99","0,00","4,24",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2023,,,,,,,,,"0,07",,,"1,26","0,12","1,70","957,34","34,52","22,90","38,42","0,88","0,00","3,87",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2022,,,,,,,,,"0,08",,,"1,11","0,12","1,57","952,16","28,34","24,92","39,28","0,87","0,00","3,50",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2021,,,,,,,,,"0,41",,,"0,93","0,54","1,31","948,06","37,72","26,73","42,21","0,55","0,00","2,69",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2020,,,,,,,,,"0,56",,,"0,64","0,54","0,96","941,26","31,80","27,12","37,00","0,34","0,00","2,21",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2019,,,,,,,,,"0,51",,,"0,56","0,42","0,83","919,16","31,51","28,46","35,09","0,28","0,00","2,04",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
COPART,,2018,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
CHIPOTLE MEXICAN GRILL,https://upload.wikimedia.org/wikipedia/en/3/3b/Chipotle_Mexican_Grill_logo.svg,2026,Consommation de base,,"37,52","30,55","40,72","34,29","-0,25",,"2,14","0,00","0,00",,"3,85","1,80","1,30","31,35","19,79","20,31","1,10","0,00","11,93",NYSE:CMG,"15,39","29,84","1,05",,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
CHIPOTLE MEXICAN GRILL,,2025,,,,,,,,,"2,14",,"0,00","1,17","3,78","1,77","1,30","32,35","1,79","22,35","1,08","0,00","11,93",,,,,,,,,,,,,,VERALLIA,https://upload.wikimedia.org/wikipedia/fr/0/07/Logo_verallia.jpg,2026,Industrie,,"13,34","19,74","25,79","22,81","-0,23","9,19","3,32","8,61","1,70",,"19,03","5,73","117,83","24,00","3,24","9,16"
CHIPOTLE MEXICAN GRILL,,2024,,,,,,,,,"1,96",,"0,00","1,12","3,30","1,68","1,36","54,10","20,75","23,71","1,10","0,00","11,93",,,,,,,,,,,,,,SCHNEIDER ELECTRIC,https://companieslogo.com/img/orig/SU.PA_BIG-8cd10b23.png?t=1720244494,2026,Industrie,,"3,81","276,2","188,98","170,87","0,46","32,2","2,20","1,41","3,90","8,59","31,56","14,34","562,22","32,84","10,20","15,14"
CHIPOTLE MEXICAN GRILL,,2023,,,,,,,,,"2,07",,"0,00","0,90","2,92","1,41","1,37","51,57","19,31","22,96","0,88","0,00","9,87",,,,,,,,,,,,,,ATLAS COPCO,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Atlas-Copco-Logo.svg/1280px-Atlas-Copco-Logo.svg.png,2026,Industrie,,"-6,18","172,8","92,14","96,86","0,88","31,9","0,78","1,74",,,"7,15","9,17","3,31","29,46","18,61","19,57"
CHIPOTLE MEXICAN GRILL,,2022,,,,,,,,,"2,46",,"0,00","0,66","2,66","1,08","1,38","43,30","15,69","20,56","0,60","0,00","8,63",,,,,,,,,,,,,,VINCI,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4c/Logo_Vinci.svg/1280px-Logo_Vinci.svg.png,2026,Industrie,,"-2,32","123,4","86,50","60,55","0,43",,"2,95","4,05",,,"69,02","23,37","556,41","14,38","7,92","13,10"
CHIPOTLE MEXICAN GRILL,,2021,,,,,,,,,"3,13",,"0,00","0,51","2,47","0,79","1,40","76,33","12,35","19,24","0,59","0,00","7,55",,,,,,,,,,,,,,BOUYGUES,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2yMWz_gz1Sm0A3iWNPwKhNTnLNlCotAnmDA&s,2026,Industrie,,"-8,89","49,7","26,91","22,51","0,85","16,6","2,65",,,,"39,24","14,78","385,39","15,96","4,68","0,44"
CHIPOTLE MEXICAN GRILL,,2020,,,,,,,,,"3,96",,"0,00","0,21","2,22","0,56","1,40","110,76","7,62","13,41","0,20","0,00","5,98",,,,,,,,,,,,,,MICHELIN,https://logo-marque.com/wp-content/uploads/2020/09/Michelin-Logo.png,2026,Industrie,,"-5,16","31,4","24,09","22,39","0,30",,"1,38","4,40","1,38",,"10,38","7,53","687,60",,,"8,99"
CHIPOTLE MEXICAN GRILL,,2019,,,,,,,,,"3,31",,"0,00","0,28","2,02","0,61","1,39","67,65","12,06","16,64","0,27","0,00","5,59",,,,,,,,,,,,,,AIRBUS,https://upload.wikimedia.org/wikipedia/commons/c/cf/Logo_Airbus_2014.svg,2026,Industrie,,"-10,47","173,2","92,30","110,42","0,88","33,8","1,70","1,17",,,"18,02","10,58","787,23","26,62","16,03","7,91"
CHIPOTLE MEXICAN GRILL,,2018,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,COPART,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3jjH4eumeKJvu3hnjuD-1Ic_paBFKDMtRvA&s,2026,Industrie,,"25,47","32,3","47,70","36,58","-0,32","20,3","0,05","0,00",,"1,59","0,10","1,98","968,02","24,46","18,04","37,29"
DOMINOS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFQZlOOnAaQivL0gqf0bXs--rRveNHulbo_A&s,2026,Consommation de base,,"18,88","313,71","456,82","357,73","-0,31","17,85","4,85","1,93","6,04",,"148,46","30,64","33,63","22,72","105,67","19,32","19,77",,"4,94",NASDAQ:DPZ,"11,51","10,27","2,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2025,,,,,,,,,"4,83",,"6,96","17,57","147,45","30,53","33,62","24,21","105,67","19,27","19,61","39,60","4,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2024,,,,,,,,,"5,37",,"6,04","16,69","148,53","27,68","34,28","25,73","107,33","18,71","14,63","33,01","4,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2023,,,,,,,,,"5,78",,"4,84","14,66","147,15","25,47","34,72","28,11","51,48","18,33","13,71","36,18","4,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2022,,,,,,,,,"6,34",,"4,40","12,53","145,52","22,96","35,42","27,65","46,07","16,50","10,75","33,01","4,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2021,,,,,,,,,"6,19",,"3,76","13,60","140,40","22,67","36,14","41,67","50,86","17,94","14,86","35,12","4,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2020,,,,,,,,,"5,49",,"3,12","12,39","109,91","20,02","38,87","30,94","52,38","17,69","12,71","27,76","4,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2019,,,,,,,,,"6,31",,"2,60","9,57","103,77","16,45","38,97","30,58","61,00","17,40","9,81","25,17","3,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINOS,,2018,,,,,,,,,"5,70",,"2,20","8,42","81,50","14,30","40,97","29,92","85,99","16,48","6,33","27,20","3,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTCO,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Costco_Wholesale_logo_2010-10-26.svg/1280px-Costco_Wholesale_logo_2010-10-26.svg.png,,Consommation de base,,"3,58","946,11","637,35","539,94","0,48","51,96","0,27","0,52",,,,,,,"30,32","0,04",,,,BCBA:COSTC,"11,55","12,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Logo_Iberdrola_%282023%29.svg/3840px-Logo_Iberdrola_%282023%29.svg.png,2026,Service aux collectivités,,"-4,96","19,36","8,70","8,17","1,23","23,05","3,63","2,69","0,52","0,87","8,97","2,47","6,56","23,80","5,96","24,28",,,"45,49",BME:IBE,"8,49","12,31","1,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2024,,,,,,,,,"3,58",,"0,52",,"8,87","2,48","6,18","15,30","6,50","24,59","0,30","59,49","44,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2023,,,,,,,,,"3,75",,"0,45","0,76","7,92","2,11","6,22","15,94","5,94","17,99","0,38","59,98","49,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2022,,,,,,,,,"3,85",,"0,40","0,66","7,39","1,92","6,18","16,81","5,71","14,95","0,37","61,65","53,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2021,,,,,,,,,"3,78",,"0,36","0,58","6,80","1,80","6,18","17,29","5,50","18,99","0,13","59,61","39,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2020,,,,,,,,,"4,18",,"0,34","0,55","6,23","1,49","6,15","20,89","5,27","17,00","0,31","60,93","33,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2019,,,,,,,,,"4,12",,"0,32","0,54","6,06","1,47","6,19","17,72","5,09","16,19","0,10","62,39","36,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBERDROLA,,2018,,,,,,,,,"4,39",,"0,28","0,47","6,01","1,37","6,24","15,03","4,52","15,00","0,22","60,91","35,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,https://grapheine.com/wp-content/uploads/2011/05/sanofi_niou-2560x1102.webp,2026,Santé,,"17,70","74,16","139,84","92,94","-0,47","10,08","1,59","5,29","3,92",,"16,66","10,46","1,21","18,92","5,55","31,20",,,"43,63",EPA:SAN,"13,76","3,68","5,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2025,,,,,,,,,#DIV/0!,,,,"16,66",,,"19,49","5,55","32,67",,,"43,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2024,,,,,,,,,"1,36",,"3,92",,"14,26","10,46","1,25","21,18","6,07","23,14","5,85","88,23","41,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2023,,,,,,,,,"1,50",,"3,76",,"14,66","9,76","1,25","20,88","5,57","20,59","6,88","87,16","37,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2022,,,,,,,,,"1,55",,"3,56",,"16,88","10,92","1,25","13,49","9,34","23,33","6,62","53,24","43,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2021,,,,,,,,,"1,90",,"3,33",,"17,82","9,38","1,25","17,90","7,26","22,95","6,74","67,02","37,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2020,,,,,,,,,"2,24",,"3,20",,"18,79","8,37","1,25","8,07","15,01","20,17","4,23","32,63","36,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2019,,,,,,,,,"2,64",,"3,15",,"20,63","7,81","1,25","38,75","3,61","16,82","4,72","135,44","36,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANOFI,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC7EOgqlfnxK3qaeQGEP3A3xI3hflPeWLkIw&s,2026,Santé,,"20,59","186,44","238,75","182,00","-0,22",#REF!,"0,41","1,14",,,"5,79","14,29","145,68","22,48","22,98","35,16","12,24",,"5,40",NYSE:RMD,"18,81","14,77","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2025,,,,,,,,,"0,44",,"2,12","9,55","5,78","13,05","146,39","27,14","22,44","32,79","11,28","22,30","5,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2024,,,,,,,,,"0,55",,"1,92","7,72","5,92","10,85","146,90","27,66","17,94","29,54","8,82","27,75","4,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2023,,,,,,,,,"1,17",,"1,76","6,44","10,71","9,15","147,06","35,90","18,09","27,28","3,89","28,91","4,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2022,,,,,,,,,"0,77",,"1,68","5,79","6,24","8,12","146,41","39,55","19,76","27,96","1,47","31,69","3,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2021,,,,,,,,,"0,72",,"1,56","5,33","5,42","7,54","145,65","76,09","12,81","28,54","4,33","48,15","3,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2020,,,,,,,,,"1,31",,"1,56","4,76","8,92","6,80","144,89","44,98","17,53","27,36","4,85","36,55","2,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2019,,,,,,,,,"1,61",,"1,48","3,64","8,80","5,45","143,65","43,58","14,30","24,40","2,70","52,85","2,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESMED,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,https://companieslogo.com/img/orig/NVO_BIG-f838aae1.png?t=1720244493,2026,Santé,,"29,26","38,12","78,05","59,72","-0,51","11,23","0,87","4,09","1,56","3,08","3,93","4,50","3,37","12,22","37,51","40,32","1,77","50,75","41,29",ETR:NOV,"19,75","12,00","1,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2025,Technologie,,,,,,,,"0,87",,"1,56","3,08","3,93","4,50","3,37","14,12","37,51","43,69","1,77","50,28","41,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2024,,,,,,,,,"0,70",,"1,52","3,03","3,08","4,43","3,37","27,59","56,07","48,00","2,21","50,23","38,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2023,,,,,,,,,"0,24",,"1,26","2,50","0,81","3,32","3,38","37,50","71,25","44,51","2,48","50,59","31,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2022,,,,,,,,,"0,32",,"0,83","1,64","0,76","2,39","3,42","38,39","57,99","42,06","1,97","50,01","23,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2021,,,,,,,,,"0,41",,"0,70","1,39","0,78","1,88","0,35","35,45","63,71","41,91","1,42","50,40","18,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2020,,,,,,,,,"0,18",,"0,61","1,21","0,30","1,71","3,55","23,69","66,45","42,63","1,32","50,90","17,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2019,,,,,,,,,"0,08",,"0,56","1,10","0,13","1,62","3,68","23,61","69,28","43,48","1,07",,"16,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO NORDISK,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,https://media.lesechos.com/api/v1/images/view/69696f1da70a2a5bcd0c1fbe/1280x720/2154200-1768517373-1034173-1424878297-ipsos-logo.jpg,2026,Technologie,,"14,83","39,46","49,50","32,80","-0,20",,"1,26",,,,"11,61","9,18","43,15","8,36","9,53","15,35",,,"2,52",EPA:IPS,"12,39","9,74","0,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2025,,,,,,,,,#DIV/0!,,"2,00","5,50",,,,"8,00","9,53","11,99",,"46,19","2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2024,,,,,,,,,"1,26",,"1,85","5,56","11,61","9,18","43,08","9,85","11,32","12,77","7,31","38,97","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2023,,,,,,,,,"1,22",,"1,65","5,14","11,68","9,55","43,19","15,80","8,34","12,68","5,86","44,99","2,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2022,,,,,,,,,"1,50",,"1,35","5,12","12,87","8,60","44,24","12,34","11,22","12,56","6,60","27,74","2,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2021,,,,,,,,,"1,75",,"1,15","4,56","13,46","7,69","44,42","10,22","10,54","12,60","7,12","27,75","2,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2020,,,,,,,,,"2,97",,"0,90","2,88","15,66","5,27","44,06","11,33","6,44","8,64","7,61","36,20","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2019,,,,,,,,,"3,36",,"0,45","2,87","20,24","6,02","43,96","12,45","5,91","9,80","3,10","18,83","2,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Zoetis_logo.svg/1280px-Zoetis_logo.svg.png,2026,Santé,,"28,21","77,56","158,85","129,54","-0,51","12,21","1,81","2,32","1,80",,"16,41","9,08","440,69","21,35","21,50","39,00","5,05",,"9,40",NYSE:ZTS,"18,39","11,09","1,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2024,,,,,,,,,"1,75",,"1,80","5,92","14,94","8,55","448,47","29,81","22,69","36,65","5,05","32,86","9,26",,,,,,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
ZOETIS,,2023,,,,,,,,,"1,91",,"1,56","5,32","14,72","7,70","458,37","38,92","20,48","35,92","3,51","30,71","8,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2022,,,,,,,,,"2,40",,"1,35","4,88","17,29","7,21","501,89","32,61","18,85","36,24","2,82","30,04","8,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2021,,,,,,,,,"2,09",,"1,07","4,70","14,23","6,82","472,57","57,11","18,68","36,05","3,64","25,16","7,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2020,,,,,,,,,"2,73",,"0,85","3,85","15,47","5,66","475,32","48,35","16,93","33,99","3,50","24,83","6,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2019,,,,,,,,,"2,74",,"0,69","3,64","13,79","5,04","475,53","42,51","17,19","32,24","2,77","22,23","6,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOETIS,,2018,,,,,,,,,"2,94",,"0,54","3,13","13,25","4,50","479,56","29,17","18,60","32,29","2,98","18,48","5,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,https://www.nvidia.com/content/dam/en-zz/Solutions/about-nvidia/logo-and-brand/nvidia-og-image-white-bg-1200x630.jpg,2026,Technologie,,"51,30","224,36","143,10","110,09","0,57","37,36","0,09",,"0,04",,"0,47","5,45","24,30","37,36","93,57","65,02","3,42",,"215,94",NASDAQ:NVDA,"18,17","65,54","0,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
